Rk,Date,Tm,,Opp,Result,,Dist,Good?,Blk?
158,2016-12-18,HOU,,JAX,W 21-20,Nick Novak\novaknic01,27,Y,N
159,2016-12-18,PHI,@,BAL,L 26-27,Caleb Sturgis\SturCa00,27,Y,N
160,2016-12-18,PIT,@,CIN,W 24-20,Chris Boswell\BoswCh00,30,Y,N
161,2016-12-18,DAL,,TAM,W 26-20,Dan Bailey\BailDa00,56,N,N
162,2016-12-18,GNB,@,CHI,W 30-27,Mason Crosby\CrosMa20,18,Y,N
163,2016-12-18,CLE,@,BUF,L 13-33,Cody Parkey\ParkCo03,40,Y,N
164,2016-12-18,HOU,,JAX,W 21-20,Nick Novak\novaknic01,39,Y,N
165,2016-12-18,JAX,@,HOU,L 20-21,Jason Myers\MyerJa00,26,Y,N
166,2016-12-18,CIN,,PIT,L 20-24,Randy Bullock\BullRa00,22,Y,N
167,2016-12-18,BUF,,CLE,W 33-13,Dan Carpenter\CarpDa44,34,Y,N
168,2016-12-18,PIT,@,CIN,W 24-20,Chris Boswell\BoswCh00,49,Y,N
169,2016-12-18,DAL,,TAM,W 26-20,Dan Bailey\BailDa00,33,Y,N
170,2016-12-18,TAM,@,DAL,L 20-26,Roberto Aguayo\AguaRo00,25,Y,N
171,2016-12-18,TEN,@,KAN,W 19-17,Ryan Succop\SuccRy44,53,Y,N
172,2016-12-18,OAK,@,SDG,W 19-16,Sebastian Janikowski\janikseb01,33,Y,N
173,2016-12-18,NWE,@,DEN,W 16-3,Stephen Gostkowski\GostSt20,21,Y,N
174,2016-12-18,ATL,,SFO,W 41-13,Matt Bryant\bryanmat01,41,Y,N
175,2016-12-18,MIN,,IND,L 6-34,Kai Forbath\ForbKa00,51,Y,N
176,2016-12-18,DET,@,NYG,L 6-17,Matt Prater\PratMa20,33,Y,N
177,2016-12-18,DAL,,TAM,W 26-20,Dan Bailey\BailDa00,52,N,N
178,2016-12-18,NOR,@,ARI,W 48-41,Wil Lutz\LutzWi00,39,Y,N
179,2016-12-18,IND,@,MIN,W 34-6,Adam Vinatieri\vinatada01,48,Y,N
180,2016-12-18,HOU,,JAX,W 21-20,Nick Novak\novaknic01,43,Y,N
181,2016-12-18,PHI,@,BAL,L 26-27,Caleb Sturgis\SturCa00,34,Y,N
182,2016-12-18,NYG,,DET,W 17-6,Robbie Gould\gouldrob01,47,Y,N
183,2016-12-18,PIT,@,CIN,W 24-20,Chris Boswell\BoswCh00,49,Y,N
184,2016-12-18,GNB,@,CHI,W 30-27,Mason Crosby\CrosMa20,34,Y,N
185,2016-12-18,CLE,@,BUF,L 13-33,Cody Parkey\ParkCo03,35,Y,N
186,2016-12-18,SDG,,OAK,L 16-19,Josh Lambo\LambJo00,35,Y,N
187,2016-12-18,OAK,@,SDG,W 19-16,Sebastian Janikowski\janikseb01,44,Y,N
188,2016-12-18,CHI,,GNB,L 27-30,Connor Barth\barthco01,22,Y,N
189,2016-12-18,CIN,,PIT,L 20-24,Randy Bullock\BullRa00,23,Y,N
190,2016-12-18,BUF,,CLE,W 33-13,Dan Carpenter\CarpDa44,21,Y,N
191,2016-12-18,BAL,,PHI,W 27-26,Justin Tucker\TuckJu00,47,Y,N
192,2016-12-18,PIT,@,CIN,W 24-20,Chris Boswell\BoswCh00,49,Y,N
193,2016-12-18,DAL,,TAM,W 26-20,Dan Bailey\BailDa00,38,Y,N
194,2016-12-17,NYJ,,MIA,L 13-34,Nick Folk\FolkNi20,48,Y,N
195,2016-12-17,NYJ,,MIA,L 13-34,Nick Folk\FolkNi20,36,Y,N
196,2016-12-15,LAR,@,SEA,L 3-24,Greg Zuerlein\ZuerGr00,36,Y,N
197,2016-12-15,SEA,,LAR,W 24-3,Steven Hauschka\HausSt00,48,Y,N
198,2016-12-12,BAL,@,NWE,L 23-30,Justin Tucker\TuckJu00,38,Y,N
199,2016-12-12,BAL,@,NWE,L 23-30,Justin Tucker\TuckJu00,50,Y,N
200,2016-12-12,BAL,@,NWE,L 23-30,Justin Tucker\TuckJu00,37,Y,N
201,2016-12-12,BAL,@,NWE,L 23-30,Justin Tucker\TuckJu00,34,N,Y
202,2016-12-11,HOU,@,IND,W 22-17,Nick Novak\novaknic01,52,Y,N
203,2016-12-11,JAX,,MIN,L 16-25,Jason Myers\MyerJa00,55,Y,N
204,2016-12-11,SFO,,NYJ,L 17-23,Phil Dawson\dawsophi01,44,N,N
205,2016-12-11,PIT,@,BUF,W 27-20,Chris Boswell\BoswCh00,37,Y,N
206,2016-12-11,CAR,,SDG,W 28-16,Graham Gano\GanoGr44,44,Y,N
207,2016-12-11,IND,,HOU,L 17-22,Adam Vinatieri\vinatada01,55,N,N
208,2016-12-11,NYG,,DAL,W 10-7,Robbie Gould\gouldrob01,39,Y,N
209,2016-12-11,MIN,@,JAX,W 25-16,Kai Forbath\ForbKa00,32,Y,N
210,2016-12-11,NOR,@,TAM,L 11-16,Wil Lutz\LutzWi00,42,Y,N
211,2016-12-11,GNB,,SEA,W 38-10,Mason Crosby\CrosMa20,38,Y,N
212,2016-12-11,CLE,,CIN,L 10-23,Cody Parkey\ParkCo03,30,Y,N
213,2016-12-11,CAR,,SDG,W 28-16,Graham Gano\GanoGr44,23,Y,N
214,2016-12-11,SDG,@,CAR,L 16-28,Josh Lambo\LambJo00,32,Y,N
215,2016-12-11,MIA,,ARI,W 26-23,Andrew Franks\FranAn01,21,Y,N
216,2016-12-11,HOU,@,IND,W 22-17,Nick Novak\novaknic01,41,Y,N
217,2016-12-11,PHI,,WAS,L 22-27,Caleb Sturgis\SturCa00,45,Y,N
218,2016-12-11,JAX,,MIN,L 16-25,Jason Myers\MyerJa00,41,N,N
219,2016-12-11,CIN,@,CLE,W 23-10,Mike Nugent\nugenmik01,44,Y,N
220,2016-12-11,SFO,,NYJ,L 17-23,Phil Dawson\dawsophi01,47,Y,N
221,2016-12-11,NYJ,@,SFO,W 23-17,Nick Folk\FolkNi20,36,Y,N
222,2016-12-11,TAM,,NOR,W 16-11,Roberto Aguayo\AguaRo00,39,Y,N
223,2016-12-11,TEN,,DEN,W 13-10,Ryan Succop\SuccRy44,41,Y,N
224,2016-12-11,HOU,@,IND,W 22-17,Nick Novak\novaknic01,21,Y,N
225,2016-12-11,ARI,@,MIA,L 23-26,Chandler Catanzaro\CataCh00,56,Y,N
226,2016-12-11,MIN,@,JAX,W 25-16,Kai Forbath\ForbKa00,46,Y,N
227,2016-12-11,JAX,,MIN,L 16-25,Jason Myers\MyerJa00,45,Y,N
228,2016-12-11,DET,,CHI,W 20-17,Matt Prater\PratMa20,54,Y,N
229,2016-12-11,NOR,@,TAM,L 11-16,Wil Lutz\LutzWi00,22,Y,N
230,2016-12-11,CAR,,SDG,W 28-16,Graham Gano\GanoGr44,41,Y,N
231,2016-12-11,DEN,@,TEN,L 10-13,Brandon McManus\McMaBr01,34,Y,N
232,2016-12-11,IND,,HOU,L 17-22,Adam Vinatieri\vinatada01,32,Y,N
233,2016-12-11,WAS,@,PHI,W 27-22,Dustin Hopkins\HopkDu00,38,N,N
234,2016-12-11,PHI,,WAS,L 22-27,Caleb Sturgis\SturCa00,41,Y,N
235,2016-12-11,MIN,@,JAX,W 25-16,Kai Forbath\ForbKa00,43,Y,N
236,2016-12-11,NYJ,@,SFO,W 23-17,Nick Folk\FolkNi20,50,Y,N
237,2016-12-11,GNB,,SEA,W 38-10,Mason Crosby\CrosMa20,51,N,N
238,2016-12-11,CAR,,SDG,W 28-16,Graham Gano\GanoGr44,45,Y,N
239,2016-12-11,HOU,@,IND,W 22-17,Nick Novak\novaknic01,24,Y,N
240,2016-12-11,CHI,@,DET,L 17-20,Connor Barth\barthco01,38,Y,N
241,2016-12-11,JAX,,MIN,L 16-25,Jason Myers\MyerJa00,24,Y,N
242,2016-12-11,CIN,@,CLE,W 23-10,Mike Nugent\nugenmik01,36,N,N
243,2016-12-11,SFO,,NYJ,L 17-23,Phil Dawson\dawsophi01,48,N,N
244,2016-12-11,PIT,@,BUF,W 27-20,Chris Boswell\BoswCh00,39,Y,N
245,2016-12-11,TAM,,NOR,W 16-11,Roberto Aguayo\AguaRo00,41,Y,N
246,2016-12-11,TEN,,DEN,W 13-10,Ryan Succop\SuccRy44,53,Y,N
247,2016-12-11,SEA,@,GNB,L 10-38,Steven Hauschka\HausSt00,28,Y,N
248,2016-12-11,ARI,@,MIA,L 23-26,Chandler Catanzaro\CataCh00,41,N,N
249,2016-12-11,MIN,@,JAX,W 25-16,Kai Forbath\ForbKa00,40,Y,N
250,2016-12-11,DET,,CHI,W 20-17,Matt Prater\PratMa20,29,Y,N
251,2016-12-11,DAL,@,NYG,L 7-10,Dan Bailey\BailDa00,55,N,N
252,2016-12-11,NOR,@,TAM,L 11-16,Wil Lutz\LutzWi00,34,Y,N
253,2016-12-11,HOU,@,IND,W 22-17,Nick Novak\novaknic01,34,Y,N
254,2016-12-11,PHI,,WAS,L 22-27,Caleb Sturgis\SturCa00,36,Y,N
255,2016-12-11,JAX,,MIN,L 16-25,Jason Myers\MyerJa00,61,N,Y
256,2016-12-11,NYJ,@,SFO,W 23-17,Nick Folk\FolkNi20,30,Y,N
257,2016-12-11,TAM,,NOR,W 16-11,Roberto Aguayo\AguaRo00,26,Y,N
258,2016-12-08,OAK,@,KAN,L 13-21,Sebastian Janikowski\janikseb01,33,Y,N
259,2016-12-08,OAK,@,KAN,L 13-21,Sebastian Janikowski\janikseb01,44,Y,N
260,2016-12-05,IND,@,NYJ,W 41-10,Adam Vinatieri\vinatada01,53,Y,N
261,2016-12-05,NYJ,,IND,L 10-41,Nick Folk\FolkNi20,38,Y,N
262,2016-12-05,IND,@,NYJ,W 41-10,Adam Vinatieri\vinatada01,36,Y,N
263,2016-12-04,CHI,,SFO,W 26-6,Connor Barth\barthco01,45,Y,N
264,2016-12-04,CIN,,PHI,W 32-14,Mike Nugent\nugenmik01,38,Y,N
265,2016-12-04,TAM,@,SDG,W 28-21,Roberto Aguayo\AguaRo00,35,Y,N
266,2016-12-04,OAK,,BUF,W 38-24,Sebastian Janikowski\janikseb01,47,Y,N
267,2016-12-04,NWE,,LAR,W 26-10,Stephen Gostkowski\GostSt20,45,Y,N
268,2016-12-04,ATL,,KAN,L 28-29,Matt Bryant\bryanmat01,22,Y,N
269,2016-12-04,SEA,,CAR,W 40-7,Steven Hauschka\HausSt00,28,Y,N
270,2016-12-04,ARI,,WAS,W 31-23,Chandler Catanzaro\CataCh00,53,N,N
