"","Date","Name","Distance","Made","Block","H/A","SeasonPerc","Temp","Years Exp.","Average Dist."
"184","12/18/16","Mason Crosby\CrosMa20",34,"Y","N","Away",0.867,"",9,35.4
"185","12/18/16","Cody Parkey\ParkCo03",35,"Y","N","Away",0.8,"",2,37.6
"186","12/18/16","Josh Lambo\LambJo00",35,"Y","N","Home",0.813,"",1,36.38
"187","12/18/16","Sebastian Janikowski\janikseb01",44,"Y","N","Away",0.829,"",16,38.54
"188","12/18/16","Connor Barth\barthco01",22,"Y","N","Home",0.783,"",7,35.35
"189","12/18/16","Randy Bullock\BullRa00",23,"Y","N","Home",0.889,"",6,32.67
"190","12/18/16","Dan Carpenter\CarpDa44",21,"Y","N","Home",0.76,"",8,36.16
"191","12/18/16","Justin Tucker\TuckJu00",47,"Y","N","Home",0.974,"",4,41.95
"192","12/18/16","Chris Boswell\BoswCh00",49,"Y","N","Away",0.84,"",1,40.64
"193","12/18/16","Dan Bailey\BailDa00",38,"Y","N","Home",0.844,"",5,38.41
"194","12/17/16","Nick Folk\FolkNi20",48,"Y","N","Home",0.871,"",9,33.97
"195","12/17/16","Nick Folk\FolkNi20",36,"Y","N","Home",0.871,"",9,33.97
"196","12/15/16","Greg Zuerlein\ZuerGr00",36,"Y","N","Away",0.864,"",4,38.68
"197","12/15/16","Steven Hauschka\HausSt00",48,"Y","N","Home",0.892,"",9,34.14
"198","12/12/16","Justin Tucker\TuckJu00",38,"Y","N","Away",0.974,"",4,41.95
"199","12/12/16","Justin Tucker\TuckJu00",50,"Y","N","Away",0.974,"",4,41.95
"200","12/12/16","Justin Tucker\TuckJu00",37,"Y","N","Away",0.974,"",4,41.95
"201","12/12/16","Justin Tucker\TuckJu00",34,"N","Y","Away",0.974,"",4,41.95
"202","12/11/16","Nick Novak\novaknic01",52,"Y","N","Away",0.854,"",9,36.78
"203","12/11/16","Jason Myers\MyerJa00",55,"Y","N","Home",0.794,"",1,42.82
"204","12/11/16","Phil Dawson\dawsophi01",44,"N","N","Home",0.857,"",18,40.33
"205","12/11/16","Chris Boswell\BoswCh00",37,"Y","N","Away",0.84,"",1,40.64
"206","12/11/16","Graham Gano\GanoGr44",44,"Y","N","Home",0.789,"",7,40.61
"207","12/11/16","Adam Vinatieri\vinatada01",55,"N","N","Home",0.871,"",20,43.16
"208","12/11/16","Robbie Gould\gouldrob01",39,"Y","N","Home",1,"",11,36.3
"209","12/11/16","Kai Forbath\ForbKa00",32,"Y","N","Away",1,"",5,34.33
"210","12/11/16","Wil Lutz\LutzWi00",42,"Y","N","Away",0.824,"",0,37.53
"211","12/11/16","Mason Crosby\CrosMa20",38,"Y","N","Home",0.867,"",9,35.4
"212","12/11/16","Cody Parkey\ParkCo03",30,"Y","N","Home",0.8,"",2,37.6
"213","12/11/16","Graham Gano\GanoGr44",23,"Y","N","Home",0.789,"",7,40.61
"214","12/11/16","Josh Lambo\LambJo00",32,"Y","N","Away",0.813,"",1,36.38
"215","12/11/16","Andrew Franks\FranAn01",21,"Y","N","Home",0.762,"",1,32.86
"216","12/11/16","Nick Novak\novaknic01",41,"Y","N","Away",0.854,"",9,36.78
"217","12/11/16","Caleb Sturgis\SturCa00",45,"Y","N","Home",0.854,"",3,37.63
"218","12/11/16","Jason Myers\MyerJa00",41,"N","N","Home",0.794,"",1,42.82
"219","12/11/16","Mike Nugent\nugenmik01",44,"Y","N","Away",0.793,"",12,35.17
"220","12/11/16","Phil Dawson\dawsophi01",47,"Y","N","Home",0.857,"",18,40.33
"221","12/11/16","Nick Folk\FolkNi20",36,"Y","N","Away",0.871,"",9,33.97
"222","12/11/16","Roberto Aguayo\AguaRo00",39,"Y","N","Home",0.71,"",0,36.68
"223","12/11/16","Ryan Succop\SuccRy44",41,"Y","N","Home",0.917,"",7,39.33
"224","12/11/16","Nick Novak\novaknic01",21,"Y","N","Away",0.854,"",9,36.78
"225","12/11/16","Chandler Catanzaro\CataCh00",56,"Y","N","Away",0.75,"",2,39.07
"226","12/11/16","Kai Forbath\ForbKa00",46,"Y","N","Away",1,"",5,34.33
"227","12/11/16","Jason Myers\MyerJa00",45,"Y","N","Home",0.794,"",1,42.82
"228","12/11/16","Matt Prater\PratMa20",54,"Y","N","Home",0.861,"",10,40.17
"229","12/11/16","Wil Lutz\LutzWi00",22,"Y","N","Away",0.824,"",0,37.53
"230","12/11/16","Graham Gano\GanoGr44",41,"Y","N","Home",0.789,"",7,40.61
"231","12/11/16","Brandon McManus\McMaBr01",34,"Y","N","Away",0.853,"",2,37.88
"232","12/11/16","Adam Vinatieri\vinatada01",32,"Y","N","Home",0.871,"",20,43.16
"233","12/11/16","Dustin Hopkins\HopkDu00",38,"N","N","Away",0.81,"",2,36.9
"234","12/11/16","Caleb Sturgis\SturCa00",41,"Y","N","Home",0.854,"",3,37.63
"235","12/11/16","Kai Forbath\ForbKa00",43,"Y","N","Away",1,"",5,34.33
"236","12/11/16","Nick Folk\FolkNi20",50,"Y","N","Away",0.871,"",9,33.97
"237","12/11/16","Mason Crosby\CrosMa20",51,"N","N","Home",0.867,"",9,35.4
"238","12/11/16","Graham Gano\GanoGr44",45,"Y","N","Home",0.789,"",7,40.61
"239","12/11/16","Nick Novak\novaknic01",24,"Y","N","Away",0.854,"",9,36.78
"240","12/11/16","Connor Barth\barthco01",38,"Y","N","Away",0.783,"",7,35.35
"241","12/11/16","Jason Myers\MyerJa00",24,"Y","N","Home",0.794,"",1,42.82
"242","12/11/16","Mike Nugent\nugenmik01",36,"N","N","Away",0.793,"",12,35.17
"243","12/11/16","Phil Dawson\dawsophi01",48,"N","N","Home",0.857,"",18,40.33
"244","12/11/16","Chris Boswell\BoswCh00",39,"Y","N","Away",0.84,"",1,40.64
"245","12/11/16","Roberto Aguayo\AguaRo00",41,"Y","N","Home",0.71,"",0,36.68
"246","12/11/16","Ryan Succop\SuccRy44",53,"Y","N","Home",0.917,"",7,39.33
"247","12/11/16","Steven Hauschka\HausSt00",28,"Y","N","Away",0.892,"",9,34.14
"248","12/11/16","Chandler Catanzaro\CataCh00",41,"N","N","Away",0.75,"",2,39.07
"249","12/11/16","Kai Forbath\ForbKa00",40,"Y","N","Away",1,"",5,34.33
"250","12/11/16","Matt Prater\PratMa20",29,"Y","N","Home",0.861,"",10,40.17
"251","12/11/16","Dan Bailey\BailDa00",55,"N","N","Away",0.844,"",5,38.41
"252","12/11/16","Wil Lutz\LutzWi00",34,"Y","N","Away",0.824,"",0,37.53
"253","12/11/16","Nick Novak\novaknic01",34,"Y","N","Away",0.854,"",9,36.78
"254","12/11/16","Caleb Sturgis\SturCa00",36,"Y","N","Home",0.854,"",3,37.63
"255","12/11/16","Jason Myers\MyerJa00",61,"N","Y","Home",0.794,"",1,42.82
"256","12/11/16","Nick Folk\FolkNi20",30,"Y","N","Away",0.871,"",9,33.97
"257","12/11/16","Roberto Aguayo\AguaRo00",26,"Y","N","Home",0.71,"",0,36.68
"258","12/8/16","Sebastian Janikowski\janikseb01",33,"Y","N","Away",0.829,"",16,38.54
"259","12/8/16","Sebastian Janikowski\janikseb01",44,"Y","N","Away",0.829,"",16,38.54
"260","12/5/16","Adam Vinatieri\vinatada01",53,"Y","N","Away",0.871,"",20,43.16
"261","12/5/16","Nick Folk\FolkNi20",38,"Y","N","Home",0.871,"",9,33.97
"262","12/5/16","Adam Vinatieri\vinatada01",36,"Y","N","Away",0.871,"",20,43.16
"263","12/4/16","Connor Barth\barthco01",45,"Y","N","Home",0.783,"",7,35.35
"264","12/4/16","Mike Nugent\nugenmik01",38,"Y","N","Home",0.793,"",12,35.17
"265","12/4/16","Roberto Aguayo\AguaRo00",35,"Y","N","Away",0.71,"",0,36.68
"266","12/4/16","Sebastian Janikowski\janikseb01",47,"Y","N","Home",0.829,"",16,38.54
"267","12/4/16","Stephen Gostkowski\GostSt20",45,"Y","N","Home",0.844,"",10,37.16
"268","12/4/16","Matt Bryant\bryanmat01",22,"Y","N","Home",0.919,"",15,37.3
"269","12/4/16","Steven Hauschka\HausSt00",28,"Y","N","Home",0.892,"",9,34.14
"270","12/4/16","Chandler Catanzaro\CataCh00",53,"N","N","Home",0.75,"",2,39.07
"271","12/4/16","Matt Prater\PratMa20",52,"Y","N","Away",0.861,"",10,40.17
"272","12/4/16","Mike Nugent\nugenmik01",32,"Y","N","Home",0.793,"",12,35.17
"273","12/4/16","Justin Tucker\TuckJu00",55,"Y","N","Home",0.974,"",4,41.95
"274","12/4/16","Randy Bullock\BullRa00",44,"Y","N","Home",0.889,"",6,32.67
"275","12/4/16","Brandon McManus\McMaBr01",32,"Y","N","Away",0.853,"",2,37.88
"276","12/4/16","Dustin Hopkins\HopkDu00",20,"Y","N","Away",0.81,"",2,36.9
"277","12/4/16","Steven Hauschka\HausSt00",23,"Y","N","Home",0.892,"",9,34.14
"278","12/4/16","Matt Prater\PratMa20",29,"Y","N","Away",0.861,"",10,40.17
"279","12/4/16","Dan Carpenter\CarpDa44",27,"Y","N","Away",0.76,"",8,36.16
"280","12/4/16","Matt Bryant\bryanmat01",59,"Y","N","Home",0.919,"",15,37.3
"281","12/4/16","Mike Nugent\nugenmik01",26,"Y","N","Home",0.793,"",12,35.17
"282","12/4/16","Phil Dawson\dawsophi01",28,"Y","N","Away",0.857,"",18,40.33
"283","12/4/16","Randy Bullock\BullRa00",38,"Y","N","Home",0.889,"",6,32.67
"284","12/4/16","Roberto Aguayo\AguaRo00",27,"Y","N","Away",0.71,"",0,36.68
"285","12/4/16","Sebastian Janikowski\janikseb01",41,"Y","N","Home",0.829,"",16,38.54
"286","12/4/16","Stephen Gostkowski\GostSt20",48,"Y","N","Home",0.844,"",10,37.16
"287","12/4/16","Steven Hauschka\HausSt00",31,"Y","N","Home",0.892,"",9,34.14
"288","12/4/16","Chandler Catanzaro\CataCh00",28,"Y","N","Home",0.75,"",2,39.07
"289","12/4/16","Matt Prater\PratMa20",27,"Y","N","Away",0.861,"",10,40.17
"290","12/4/16","Wil Lutz\LutzWi00",32,"Y","N","Home",0.824,"",0,37.53
"291","12/4/16","Josh Lambo\LambJo00",53,"N","N","Home",0.813,"",1,36.38
"292","12/4/16","Andrew Franks\FranAn01",46,"N","N","Away",0.762,"",1,32.86
