"","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","Dome"
"164","12/18/16","Nick Novak\novaknic01",43,"Y","N","Home",0.854,37,9,36.78,0.828,"NOT DOME"
"165","12/18/16","Caleb Sturgis\SturCa00",34,"Y","N","Away",0.854,58,3,37.63,0.81,"NOT DOME"
"166","12/18/16","Chris Boswell\BoswCh00",49,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"167","12/18/16","Mason Crosby\CrosMa20",34,"Y","N","Away",0.867,9,9,35.4,0.804,"NOT DOME"
"168","12/18/16","Cody Parkey\ParkCo03",35,"Y","N","Away",0.8,25,2,37.6,0.846,"NOT DOME"
"169","12/18/16","Josh Lambo\LambJo00",35,"Y","N","Home",0.813,60,1,36.38,0.813,"NOT DOME"
"170","12/18/16","Sebastian Janikowski\janikseb01",44,"Y","N","Away",0.829,60,16,38.54,0.804,"NOT DOME"
"171","12/18/16","Connor Barth\barthco01",22,"Y","N","Home",0.783,9,7,35.35,0.84,"NOT DOME"
"172","12/18/16","Dan Carpenter\CarpDa44",21,"Y","N","Home",0.76,25,8,36.16,0.84,"NOT DOME"
"173","12/18/16","Justin Tucker\TuckJu00",47,"Y","N","Home",0.974,58,4,41.95,0.899,"NOT DOME"
"174","12/18/16","Chris Boswell\BoswCh00",49,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"175","12/18/16","Dan Bailey\BailDa00",38,"Y","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"176","12/17/16","Nick Folk\FolkNi20",48,"Y","N","Home",0.871,34,9,33.97,0.813,"NOT DOME"
"177","12/17/16","Nick Folk\FolkNi20",36,"Y","N","Home",0.871,34,9,33.97,0.813,"NOT DOME"
"178","12/15/16","Greg Zuerlein\ZuerGr00",36,"Y","N","Away",0.864,35,4,38.68,0.799,"NOT DOME"
"179","12/15/16","Steven Hauschka\HausSt00",48,"Y","N","Home",0.892,35,9,34.14,0.868,"NOT DOME"
"180","12/12/16","Justin Tucker\TuckJu00",38,"Y","N","Away",0.974,75,4,41.95,0.899,"NOT DOME"
"181","12/12/16","Justin Tucker\TuckJu00",50,"Y","N","Away",0.974,33,4,41.95,0.899,"NOT DOME"
"182","12/12/16","Justin Tucker\TuckJu00",37,"Y","N","Away",0.974,33,4,41.95,0.899,"NOT DOME"
"183","12/12/16","Justin Tucker\TuckJu00",34,"N","Y","Away",0.974,33,4,41.95,0.899,"NOT DOME"
"184","12/11/16","Nick Novak\novaknic01",52,"Y","N","Away",0.854,33,9,36.78,0.828,"NOT DOME"
"185","12/11/16","Jason Myers\MyerJa00",55,"Y","N","Home",0.794,65,1,42.82,0.824,"DOME"
"186","12/11/16","Phil Dawson\dawsophi01",44,"N","N","Home",0.857,66,18,40.33,0.844,"NOT DOME"
"187","12/11/16","Chris Boswell\BoswCh00",37,"Y","N","Away",0.84,53,1,40.64,0.877,"NOT DOME"
"188","12/11/16","Graham Gano\GanoGr44",44,"Y","N","Home",0.789,24,7,40.61,0.8,"NOT DOME"
"189","12/11/16","Adam Vinatieri\vinatada01",55,"N","N","Home",0.871,42,20,43.16,0.842,"NOT DOME"
"190","12/11/16","Wil Lutz\LutzWi00",42,"Y","N","Away",0.824,66,0,37.53,0.842,"NOT DOME"
"191","12/11/16","Mason Crosby\CrosMa20",38,"Y","N","Home",0.867,75,9,35.4,0.804,"NOT DOME"
"192","12/11/16","Cody Parkey\ParkCo03",30,"Y","N","Home",0.8,27,2,37.6,0.846,"NOT DOME"
"193","12/11/16","Graham Gano\GanoGr44",23,"Y","N","Home",0.789,28,7,40.61,0.8,"NOT DOME"
"194","12/11/16","Josh Lambo\LambJo00",32,"Y","N","Away",0.813,42,1,36.38,0.813,"NOT DOME"
"195","12/11/16","Andrew Franks\FranAn01",21,"Y","N","Home",0.762,42,1,32.86,0.784,"NOT DOME"
"196","12/11/16","Nick Novak\novaknic01",41,"Y","N","Away",0.854,75,9,36.78,0.828,"NOT DOME"
"197","12/11/16","Caleb Sturgis\SturCa00",45,"Y","N","Home",0.854,65,3,37.63,0.81,"DOME"
"198","12/11/16","Jason Myers\MyerJa00",41,"N","N","Home",0.794,33,1,42.82,0.824,"NOT DOME"
"199","12/11/16","Mike Nugent\nugenmik01",44,"Y","N","Away",0.793,66,12,35.17,0.808,"NOT DOME"
"200","12/11/16","Phil Dawson\dawsophi01",47,"Y","N","Home",0.857,28,18,40.33,0.844,"NOT DOME"
"201","12/11/16","Nick Folk\FolkNi20",36,"Y","N","Away",0.871,53,9,33.97,0.813,"NOT DOME"
"202","12/11/16","Roberto Aguayo\AguaRo00",39,"Y","N","Home",0.71,53,0,36.68,0.713,"NOT DOME"
"203","12/11/16","Ryan Succop\SuccRy44",41,"Y","N","Home",0.917,75,7,39.33,0.831,"NOT DOME"
"204","12/11/16","Nick Novak\novaknic01",21,"Y","N","Away",0.854,48,9,36.78,0.828,"NOT DOME"
"205","12/11/16","Chandler Catanzaro\CataCh00",56,"Y","N","Away",0.75,65,2,39.07,0.851,"DOME"
"206","12/11/16","Jason Myers\MyerJa00",45,"Y","N","Home",0.794,66,1,42.82,0.824,"NOT DOME"
"207","12/11/16","Matt Prater\PratMa20",54,"Y","N","Home",0.861,65,10,40.17,0.831,"DOME"
"208","12/11/16","Wil Lutz\LutzWi00",22,"Y","N","Away",0.824,75,0,37.53,0.842,"NOT DOME"
"209","12/11/16","Graham Gano\GanoGr44",41,"Y","N","Home",0.789,42,7,40.61,0.8,"NOT DOME"
"210","12/11/16","Brandon McManus\McMaBr01",34,"Y","N","Away",0.853,48,2,37.88,0.821,"NOT DOME"
"211","12/11/16","Adam Vinatieri\vinatada01",32,"Y","N","Home",0.871,65,20,43.16,0.842,"DOME"
"212","12/11/16","Dustin Hopkins\HopkDu00",38,"N","N","Away",0.81,33,2,36.9,0.845,"NOT DOME"
"213","12/11/16","Caleb Sturgis\SturCa00",41,"Y","N","Home",0.854,33,3,37.63,0.81,"NOT DOME"
"214","12/11/16","Nick Folk\FolkNi20",50,"Y","N","Away",0.871,53,9,33.97,0.813,"NOT DOME"
"215","12/11/16","Mason Crosby\CrosMa20",51,"N","N","Home",0.867,28,9,35.4,0.804,"NOT DOME"
"216","12/11/16","Graham Gano\GanoGr44",45,"Y","N","Home",0.789,42,7,40.61,0.8,"NOT DOME"
"217","12/11/16","Nick Novak\novaknic01",24,"Y","N","Away",0.854,65,9,36.78,0.828,"DOME"
"218","12/11/16","Connor Barth\barthco01",38,"Y","N","Away",0.783,65,7,35.35,0.84,"DOME"
"219","12/11/16","Jason Myers\MyerJa00",24,"Y","N","Home",0.794,66,1,42.82,0.824,"NOT DOME"
"220","12/11/16","Mike Nugent\nugenmik01",36,"N","N","Away",0.793,28,12,35.17,0.808,"NOT DOME"
"221","12/11/16","Phil Dawson\dawsophi01",48,"N","N","Home",0.857,53,18,40.33,0.844,"NOT DOME"
"222","12/11/16","Chris Boswell\BoswCh00",39,"Y","N","Away",0.84,24,1,40.64,0.877,"NOT DOME"
"223","12/11/16","Roberto Aguayo\AguaRo00",41,"Y","N","Home",0.71,75,0,36.68,0.713,"NOT DOME"
"224","12/11/16","Ryan Succop\SuccRy44",53,"Y","N","Home",0.917,48,7,39.33,0.831,"NOT DOME"
"225","12/11/16","Steven Hauschka\HausSt00",28,"Y","N","Away",0.892,27,9,34.14,0.868,"NOT DOME"
"226","12/11/16","Chandler Catanzaro\CataCh00",41,"N","N","Away",0.75,75,2,39.07,0.851,"NOT DOME"
"227","12/11/16","Matt Prater\PratMa20",29,"Y","N","Home",0.861,65,10,40.17,0.831,"DOME"
"228","12/11/16","Dan Bailey\BailDa00",55,"N","N","Away",0.844,30,5,38.41,0.897,"NOT DOME"
"229","12/11/16","Wil Lutz\LutzWi00",34,"Y","N","Away",0.824,57,0,37.53,0.842,"NOT DOME"
"230","12/11/16","Nick Novak\novaknic01",34,"Y","N","Away",0.854,65,9,36.78,0.828,"DOME"
