"","X.1","X","Date","Name","Distance","Made","Block","H.A","SeasonPerc","Temp","Years.Exp.","Average.Dist.","Career.Avg.","newcol"
"174",174,174,"12/18/16","Matt Bryant\bryanmat01",41,"Y","N","Home",0.919,65,15,37.3,0.858,"DOME"
"175",175,175,"12/18/16","Kai Forbath\ForbKa00",51,"Y","N","Home",1,65,5,34.33,0.87,"DOME"
"176",176,176,"12/18/16","Matt Prater\PratMa20",33,"Y","N","Away",0.861,48,10,40.17,0.831,"NOT DOME"
"177",177,177,"12/18/16","Dan Bailey\BailDa00",52,"N","N","Home",0.844,26,5,38.41,0.897,"NOT DOME"
"178",178,178,"12/18/16","Wil Lutz\LutzWi00",39,"Y","N","Away",0.824,65,0,37.53,0.842,"DOME"
"179",179,179,"12/18/16","Adam Vinatieri\vinatada01",48,"Y","N","Away",0.871,65,20,43.16,0.842,"DOME"
"180",180,180,"12/18/16","Nick Novak\novaknic01",43,"Y","N","Home",0.854,37,9,36.78,0.828,"NOT DOME"
"181",181,181,"12/18/16","Caleb Sturgis\SturCa00",34,"Y","N","Away",0.854,58,3,37.63,0.81,"NOT DOME"
"182",182,182,"12/18/16","Robbie Gould\gouldrob01",47,"Y","N","Home",1,48,11,36.3,0.859,"NOT DOME"
"183",183,183,"12/18/16","Chris Boswell\BoswCh00",49,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
"184",184,184,"12/18/16","Mason Crosby\CrosMa20",34,"Y","N","Away",0.867,9,9,35.4,0.804,"NOT DOME"
"185",185,185,"12/18/16","Cody Parkey\ParkCo03",35,"Y","N","Away",0.8,25,2,37.6,0.846,"NOT DOME"
"186",186,186,"12/18/16","Josh Lambo\LambJo00",35,"Y","N","Home",0.813,60,1,36.38,0.813,"NOT DOME"
"187",187,187,"12/18/16","Sebastian Janikowski\janikseb01",44,"Y","N","Away",0.829,60,16,38.54,0.804,"NOT DOME"
"188",188,188,"12/18/16","Connor Barth\barthco01",22,"Y","N","Home",0.783,9,7,35.35,0.84,"NOT DOME"
"189",189,189,"12/18/16","Randy Bullock\BullRa00",23,"Y","N","Home",0.889,26,6,32.67,0.814,"NOT DOME"
"190",190,190,"12/18/16","Dan Carpenter\CarpDa44",21,"Y","N","Home",0.76,25,8,36.16,0.84,"NOT DOME"
"191",191,191,"12/18/16","Justin Tucker\TuckJu00",47,"Y","N","Home",0.974,58,4,41.95,0.899,"NOT DOME"
"192",192,192,"12/18/16","Chris Boswell\BoswCh00",49,"Y","N","Away",0.84,26,1,40.64,0.877,"NOT DOME"
