"","Month","Date","Team","HomeAway","Opponent","Score","Name","Distance","Made","Location","Dome","SeasonAvg","YearsExp","AverageDist","CareerAvg"
"179",4,"2016-12-15","LAR","Away","SEA","L 3-24","Greg Zuerlein\ZuerGr00",36,"Y","SEA","Not Dome",0.864,4,38.68,0.799
"180",4,"2016-12-15","SEA","Home","LAR","W 24-3","Steven Hauschka\HausSt00",48,"Y","SEA","Not Dome",0.892,9,34.14,0.868
"181",4,"2016-12-12","BAL","Away","NWE","L 23-30","Justin Tucker\TuckJu00",38,"Y","NWE","Not Dome",0.974,4,41.95,0.899
"182",4,"2016-12-12","BAL","Away","NWE","L 23-30","Justin Tucker\TuckJu00",50,"Y","NWE","Not Dome",0.974,4,41.95,0.899
"183",4,"2016-12-12","BAL","Away","NWE","L 23-30","Justin Tucker\TuckJu00",37,"Y","NWE","Not Dome",0.974,4,41.95,0.899
"185",4,"2016-12-11","HOU","Away","IND","W 22-17","Nick Novak\novaknic01",34,"Y","IND","Dome",0.854,9,36.78,0.828
"186",4,"2016-12-11","PHI","Home","WAS","L 22-27","Caleb Sturgis\SturCa00",36,"Y","PHI","Not Dome",0.854,3,37.63,0.81
"188",4,"2016-12-11","NYJ","Away","SFO","W 23-17","Nick Folk\FolkNi20",30,"Y","SFO","Not Dome",0.871,9,33.97,0.813
"189",4,"2016-12-11","TAM","Home","NOR","W 16-11","Roberto Aguayo\AguaRo00",26,"Y","TAM","Not Dome",0.71,0,36.68,0.713
"190",4,"2016-12-11","HOU","Away","IND","W 22-17","Nick Novak\novaknic01",52,"Y","IND","Dome",0.854,9,36.78,0.828
"191",4,"2016-12-11","JAX","Home","MIN","L 16-25","Jason Myers\MyerJa00",55,"Y","JAX","Not Dome",0.794,1,42.82,0.824
