"","X","X.1","team","opponent","Final.Score","Kicker","Distance","Made.","Block.","Home.Away","Season.Percentages","Temperature","Years.played","Player","PERCENTAGE","Years.Played","Years.played.in.2016.Season"
"179",179,"12/18/16","IND","MIN","W 34-6","Adam Vinatieri",48,"Y","N","Away",87,"",20,"",NA,NA,NA
"180",180,"12/18/16","HOU","JAX","W 21-20","Nick Novak",43,"Y","N","Home",85,"",9,"",NA,NA,NA
"181",181,"12/18/16","PHI","BAL","L 26-27","Caleb Sturgis",34,"Y","N","Away",85,"",3,"",NA,NA,NA
"182",182,"12/18/16","NYG","DET","W 17-6","Robbie Gould",47,"Y","N","Home",100,"",11,"",NA,NA,NA
"183",183,"12/18/16","PIT","CIN","W 24-20","Chris Boswell",49,"Y","N","Away",84,"",1,"",NA,NA,NA
"184",184,"12/18/16","GNB","CHI","W 30-27","Mason Crosby",34,"Y","N","Away",87,"",9,"",NA,NA,NA
"185",185,"12/18/16","CLE","BUF","L 13-33","Cody Parkey",35,"Y","N","Away",80,"",2,"",NA,NA,NA
"186",186,"12/18/16","SDG","OAK","L 16-19","Josh Lambo",35,"Y","N","Home",81,"",1,"",NA,NA,NA
"187",187,"12/18/16","OAK","SDG","W 19-16","Sebastian Janikowski",44,"Y","N","Away",83,"",16,"",NA,NA,NA
"188",188,"12/18/16","CHI","GNB","L 27-30","Connor Barth",22,"Y","N","Home",78,"",7,"",NA,NA,NA
"189",189,"12/18/16","CIN","PIT","L 20-24","Randy Bullock",23,"Y","N","Home",83,"",6,"",NA,NA,NA
"190",190,"12/18/16","BUF","CLE","W 33-13","Dan Carpenter",21,"Y","N","Home",76,"",8,"",NA,NA,NA
"191",191,"12/18/16","BAL","PHI","W 27-26","Justin Tucker",47,"Y","N","Home",97,"",4,"",NA,NA,NA
"192",192,"12/18/16","PIT","CIN","W 24-20","Chris Boswell",49,"Y","N","Away",84,"",1,"",NA,NA,NA
"193",193,"12/18/16","DAL","TAM","W 26-20","Dan Bailey",38,"Y","N","Home",84,"",5,"",NA,NA,NA
"194",194,"12/17/16","NYJ","MIA","L 13-34","Nick Folk",48,"Y","N","Home",87,"",9,"",NA,NA,NA
"195",195,"12/17/16","NYJ","MIA","L 13-34","Nick Folk",36,"Y","N","Home",87,"",9,"",NA,NA,NA
"196",196,"12/15/16","LAR","SEA","L 3-24","Greg Zuerlein",36,"Y","N","Away",86,"",4,"",NA,NA,NA
"197",197,"12/15/16","SEA","LAR","W 24-3","Steven Hauschka",48,"Y","N","Home",89,"",9,"",NA,NA,NA
"198",198,"12/12/16","BAL","NWE","L 23-30","Justin Tucker",38,"Y","N","Away",97,"",4,"",NA,NA,NA
"199",199,"12/12/16","BAL","NWE","L 23-30","Justin Tucker",50,"Y","N","Away",97,"",4,"",NA,NA,NA
"200",200,"12/12/16","BAL","NWE","L 23-30","Justin Tucker",37,"Y","N","Away",97,"",4,"",NA,NA,NA
"201",201,"12/12/16","BAL","NWE","L 23-30","Justin Tucker",34,"N","Y","Away",97,"",4,"",NA,NA,NA
"202",202,"12/11/16","HOU","IND","W 22-17","Nick Novak",52,"Y","N","Away",85,"",9,"",NA,NA,NA
"203",203,"12/11/16","JAX","MIN","L 16-25","Jason Myers",55,"Y","N","Home",79,"",1,"",NA,NA,NA
"204",204,"12/11/16","SFO","NYJ","L 17-23","Phil Dawson",44,"N","N","Home",86,"",18,"",NA,NA,NA
"205",205,"12/11/16","PIT","BUF","W 27-20","Chris Boswell",37,"Y","N","Away",84,"",1,"",NA,NA,NA
"206",206,"12/11/16","CAR","SDG","W 28-16","Graham Gano",44,"Y","N","Home",79,"",7,"",NA,NA,NA
"207",207,"12/11/16","IND","HOU","L 17-22","Adam Vinatieri",55,"N","N","Home",87,"",20,"",NA,NA,NA
"208",208,"12/11/16","NYG","DAL","W 10-7","Robbie Gould",39,"Y","N","Home",100,"",11,"",NA,NA,NA
"209",209,"12/11/16","MIN","JAX","W 25-16","Kai Forbath",32,"Y","N","Away",100,"",5,"",NA,NA,NA
"210",210,"12/11/16","NOR","TAM","L 11-16","Wil Lutz",42,"Y","N","Away",82,"",0,"",NA,NA,NA
"211",211,"12/11/16","GNB","SEA","W 38-10","Mason Crosby",38,"Y","N","Home",87,"",9,"",NA,NA,NA
"212",212,"12/11/16","CLE","CIN","L 10-23","Cody Parkey",30,"Y","N","Home",80,"",2,"",NA,NA,NA
"213",213,"12/11/16","CAR","SDG","W 28-16","Graham Gano",23,"Y","N","Home",79,"",7,"",NA,NA,NA
